Matroska;Matroska;;M;Mk;;mkv mka mks;http://packs.matroska.org/
Ogg;Ogg;;M;Ogg;;ogg ogm;http://www.free-codecs.com/Ogg_DirectShow_Filters_download.htm
AVI;AVI;RIFF;M;Riff;Audio Video Interleave;avi;
DivX;DivX;RIFF;M;Riff;Hack of AVI;divx;http://www.divx.com
GVI;Google Video;RIFF;M;Riff;Hack of AVI;gvi;http://video.google.com/playerdownload.html
AMV;AMV;RIFF;M;Riff;Chinese hack of AVI;amv;http://en.wikipedia.org/wiki/AMV_video_format
RIFF-MMP;MMP;RIFF;M;Riff;RIFF Multimedia Movie;;
M4V ;MPEG-4;MPEG-4;M;Mpeg4;;mp4 m4v;
isom;MPEG-4;MPEG-4;M;Mpeg4;ISO 14496-1 Base Media;mp4;http://www.apple.com/quicktime/download/standalone.html
iso2;MPEG-4;MPEG-4;M;Mpeg4;ISO 14496-12 Base Media;mp4;http://www.apple.com/quicktime/download/standalone.html
mp41;MPEG-4;MPEG-4;M;Mpeg4;ISO 14496-1 version 1;mp4;http://www.apple.com/quicktime/download/standalone.html
mp42;MPEG-4;MPEG-4;M;Mpeg4;ISO 14496-1 version 2;mp4;http://www.apple.com/quicktime/download/standalone.html
avc1;AVC (JVT);MPEG-4;M;Mpeg4;JVT AVC;3gpp 3gp;http://www.apple.com/quicktime/download/standalone.html
3gp1;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
3gp2;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
3gp3;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
3gp4;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
3gp5;3GPP;MPEG-4;M;Mpeg4;;3gpp 3gp k3g;http://www.apple.com/quicktime/download/standalone.html
