AIFF;AIFF;;A;SndFile;Apple/SGI;aiff aifc;
AU;AU;;A;SndFile;Sun/NeXT;au;
Audio-Raw;Audio Raw;;A;SndFile;Undetermined raw audio format;;
PARIS;PARIS;;A;SndFile;Ensoniq;par;
SVX;Amiga Iff;;A;SndFile;Amiga Iff / SVX8 / SV16;iff;
NIST;NIST;;A;SndFile;Spere;nist;
VOC;VOC;;A;SndFile;;voc;
IRCAM;IRCAM;;A;SndFile;Berkeley/IRCAM/CARL;;
W64;W64;RIFF;A;SndFile;Sonic Foundry's Riff;w64;
MAT4;Matlab 4;;A;SndFile;;mat;
MAT5;Matlab 5;;A;SndFile;;mat;
PVF;PVF;;A;SndFile;Portable Voice Format;pvf;
XI;FT2E;;A;SndFile;FastTracker 2 Extended;xi;
HTK;HMM Toolkit;;A;SndFile;;htk;
SDS;Midi Sample;;A;SndFile;;sds;
AVR;AVR;;A;SndFile;Audio Video Research;avr;
SD2;SD2;;A;SndFile;Sound Designer 2;sd2;
TwinVQ;TwinVQ;;A;TwinVQ;;vqf;http://www.twinvq.org/english/index_en.html
MNG;MNG;PNG;I;Mng;Multiple-Image Network Graphic;mng;
JNG;JNG;PNG;I;Jng;JPEG Network Graphic;jng;
PNG;PNG;PNG;I;Png;Portable Network Graphic;png;
jp2 ;JPEG2000;;I;Other;;jp2;http://www.morgan-multimedia.com/JPEG2000/
JPEG;JPEG;;I;Jpeg;;jpeg jpg jpe;
BMP;Bitmap;;I;Bmp;;bmp;
ICO;ICO;;I;Ico;;ico;
GIF;GIF;;I;Gif;Graphics Interchange Format;gif;
TIFF;TIFF;;I;Tiff;;tiff tif;
RIFF-Palette;Palette;RIFF;I;Riff;RIFF Palette;;
RIFF-DIB;DIB;RIFF;I;Riff;RIFF Device Independent Bitmap;;
QTI;QuickTime Image;MPEG-4;I;Qt;;;http://www.apple.com/quicktime/download/standalone.html
7Z;7-Zip;;C;7z;;7z;http://7-zip.org
ZIP;ZIP;;C;Zip;;zip;http://winzip.com
RAR;RAR;;C;Rar;Rarlabs;rar;http://rarlabs.com
ACE;ACE;;C;Ace;;ace;http://winace.com
QTCA;QuickTime Archive;MPEG-4;C;Qt;Quicktime compressed archive;;http://www.apple.com/quicktime/download/standalone.html
